Serviço Iniciado - 2022-08-04 17:23:43,747 - INFO 
Status - 2022-08-04 17:23:43,752 - INFO 
I0 - 2022-08-04 17:23:43,752 - INFO 
I1 - 2022-08-04 17:23:43,752 - INFO 
O0 - 2022-08-04 17:23:43,752 - INFO 
O1 - 2022-08-04 17:23:43,752 - INFO 
Status - 2022-08-04 17:23:44,758 - INFO 
I0 - 2022-08-04 17:23:44,758 - INFO 
I1 - 2022-08-04 17:23:44,758 - INFO 
O0 - 2022-08-04 17:23:44,758 - INFO 
O1 - 2022-08-04 17:23:44,758 - INFO 
Status - 2022-08-04 17:23:45,772 - INFO 
I0 - 2022-08-04 17:23:45,772 - INFO 
I1 - 2022-08-04 17:23:45,772 - INFO 
O0 - 2022-08-04 17:23:45,772 - INFO 
O1 - 2022-08-04 17:23:45,773 - INFO 
Status - 2022-08-04 17:23:46,780 - INFO 
I0 - 2022-08-04 17:23:46,780 - INFO 
I1 - 2022-08-04 17:23:46,780 - INFO 
O0 - 2022-08-04 17:23:46,781 - INFO 
O1 - 2022-08-04 17:23:46,781 - INFO 
Status - 2022-08-04 17:23:47,787 - INFO 
I0 - 2022-08-04 17:23:47,787 - INFO 
I1 - 2022-08-04 17:23:47,787 - INFO 
O0 - 2022-08-04 17:23:47,787 - INFO 
O1 - 2022-08-04 17:23:47,787 - INFO 
Status - 2022-08-04 17:23:48,791 - INFO 
I0 - 2022-08-04 17:23:48,791 - INFO 
I1 - 2022-08-04 17:23:48,791 - INFO 
O0 - 2022-08-04 17:23:48,791 - INFO 
O1 - 2022-08-04 17:23:48,791 - INFO 
Status - 2022-08-04 17:23:49,798 - INFO 
I0 - 2022-08-04 17:23:49,798 - INFO 
I1 - 2022-08-04 17:23:49,798 - INFO 
O0 - 2022-08-04 17:23:49,798 - INFO 
O1 - 2022-08-04 17:23:49,798 - INFO 
Status - 2022-08-04 17:23:50,812 - INFO 
I0 - 2022-08-04 17:23:50,812 - INFO 
I1 - 2022-08-04 17:23:50,812 - INFO 
O0 - 2022-08-04 17:23:50,812 - INFO 
O1 - 2022-08-04 17:23:50,812 - INFO 
Status - 2022-08-04 17:23:51,823 - INFO 
I0 - 2022-08-04 17:23:51,823 - INFO 
I1 - 2022-08-04 17:23:51,823 - INFO 
O0 - 2022-08-04 17:23:51,823 - INFO 
O1 - 2022-08-04 17:23:51,823 - INFO 
Status - 2022-08-04 17:23:52,835 - INFO 
I0 - 2022-08-04 17:23:52,835 - INFO 
I1 - 2022-08-04 17:23:52,835 - INFO 
O0 - 2022-08-04 17:23:52,836 - INFO 
O1 - 2022-08-04 17:23:52,836 - INFO 
Status - 2022-08-04 17:23:53,850 - INFO 
I0 - 2022-08-04 17:23:53,850 - INFO 
I1 - 2022-08-04 17:23:53,850 - INFO 
O0 - 2022-08-04 17:23:53,851 - INFO 
O1 - 2022-08-04 17:23:53,851 - INFO 
Status - 2022-08-04 17:23:54,863 - INFO 
I0 - 2022-08-04 17:23:54,863 - INFO 
I1 - 2022-08-04 17:23:54,863 - INFO 
O0 - 2022-08-04 17:23:54,863 - INFO 
O1 - 2022-08-04 17:23:54,863 - INFO 
Status - 2022-08-04 17:23:55,876 - INFO 
I0 - 2022-08-04 17:23:55,876 - INFO 
I1 - 2022-08-04 17:23:55,876 - INFO 
O0 - 2022-08-04 17:23:55,876 - INFO 
O1 - 2022-08-04 17:23:55,876 - INFO 
Status - 2022-08-04 17:23:56,879 - INFO 
I0 - 2022-08-04 17:23:56,879 - INFO 
I1 - 2022-08-04 17:23:56,879 - INFO 
O0 - 2022-08-04 17:23:56,879 - INFO 
O1 - 2022-08-04 17:23:56,879 - INFO 
Status - 2022-08-04 17:23:57,891 - INFO 
I0 - 2022-08-04 17:23:57,892 - INFO 
I1 - 2022-08-04 17:23:57,892 - INFO 
O0 - 2022-08-04 17:23:57,892 - INFO 
O1 - 2022-08-04 17:23:57,892 - INFO 
Status - 2022-08-04 17:23:58,903 - INFO 
I0 - 2022-08-04 17:23:58,903 - INFO 
I1 - 2022-08-04 17:23:58,903 - INFO 
O0 - 2022-08-04 17:23:58,903 - INFO 
O1 - 2022-08-04 17:23:58,903 - INFO 
Status - 2022-08-04 17:23:59,915 - INFO 
I0 - 2022-08-04 17:23:59,915 - INFO 
I1 - 2022-08-04 17:23:59,915 - INFO 
O0 - 2022-08-04 17:23:59,915 - INFO 
O1 - 2022-08-04 17:23:59,915 - INFO 
Status - 2022-08-04 17:24:00,919 - INFO 
I0 - 2022-08-04 17:24:00,920 - INFO 
I1 - 2022-08-04 17:24:00,920 - INFO 
O0 - 2022-08-04 17:24:00,920 - INFO 
O1 - 2022-08-04 17:24:00,920 - INFO 
Status - 2022-08-04 17:24:01,928 - INFO 
I0 - 2022-08-04 17:24:01,928 - INFO 
I1 - 2022-08-04 17:24:01,928 - INFO 
O0 - 2022-08-04 17:24:01,928 - INFO 
